user_id,date,screen_time_minutes,keystroke_speed_wpm,sleep_hours_last_night,task_switch_frequency_per_hr,break_frequency_per_hr,stress_level,day_of_week,is_weekend,sleep_3d_avg,screen_time_3d_avg,stress_3d_avg,stress_7d_avg,wpm_7d_avg,wpm_drift,task_switch_7d_avg,task_switch_drift
U0001,2025-01-01,290.6,72.16,7.4,3.86,1.54,10.16,2,0,7.4,290.6,10.16,10.16,72.16,0.9999998614190879,3.86,0.9999974093331364
U0001,2025-01-02,353.48,67.16,7.34,4.14,1.63,23.56,3,0,7.37,322.04,16.86,16.86,69.66,0.964111259817505,4.0,1.0349974125064687
U0001,2025-01-03,319.78,66.35,4.25,4.78,1.84,40.68,4,0,6.330000000000001,321.2866666666667,24.8,24.8,68.55666666666666,0.967812374024548,4.26,1.1220630937486065
U0001,2025-01-04,169.73,78.87,8.26,6.01,1.57,4.9,5,1,6.616666666666667,280.99666666666667,23.046666666666667,19.825,71.13499999999999,1.1087367528309902,4.6975,1.2794012146860785
U0001,2025-01-05,233.76,68.68,7.73,5.42,1.02,2.77,6,1,6.746666666666667,241.09,16.116666666666667,16.413999999999998,70.644,0.9721984921297644,4.8420000000000005,1.1193698484720187
U0001,2025-01-06,349.97,75.64,6.58,4.77,1.85,16.04,0,0,7.523333333333333,251.15333333333334,7.903333333333333,16.351666666666667,71.47666666666667,1.0582472986642775,4.829999999999999,0.9875755950815839
U0001,2025-01-07,256.14,69.03,5.67,3.64,1.84,36.6,1,0,6.66,279.95666666666665,18.470000000000002,19.244285714285716,71.12714285714286,0.9705154392816069,4.659999999999999,0.781114203617589
U0001,2025-01-08,356.99,77.21,7.28,5.48,1.46,28.45,2,0,6.510000000000001,321.03333333333336,27.03,21.857142857142858,71.84857142857143,1.074621077616663,4.8914285714285715,1.1203248124200682
U0001,2025-01-09,308.74,71.39,7.49,8.26,1.33,43.38,3,0,6.8133333333333335,307.29,36.14333333333334,24.68857142857143,72.45285714285714,0.9853302266042632,5.4799999999999995,1.5072965195318988
U0001,2025-01-10,270.04,73.06,6.68,7.84,2.17,48.01,4,0,7.1499999999999995,311.92333333333335,39.946666666666665,25.735714285714288,73.41142857142857,0.9952127546024503,5.917142857142857,1.324961546419405
U0001,2025-01-11,78.85,78.59,8.23,5.38,1.8,4.91,5,1,7.466666666666666,219.21,32.1,25.737142857142857,73.37142857142858,1.0711252434214036,5.827142857142857,0.9232639218319557
U0001,2025-01-12,172.69,65.59,5.9,4.57,2.09,20.78,6,1,6.936666666666667,173.86,24.566666666666666,28.310000000000002,72.92999999999999,0.8993554230967472,5.7057142857142855,0.800950023372518
U0001,2025-01-13,357.94,73.96,5.96,5.58,1.85,43.23,0,0,6.696666666666666,203.16,22.97333333333333,32.19428571428571,72.69,1.0174713141461942,5.821428571428571,0.9585259608143005
